City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,Wad Madani,SD,66.94,clear sky,14.4012,33.5199,فندق يوغسلافيا
545,Puerto Baquerizo Moreno,EC,74.66,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
549,Cururupu,BR,72.37,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
553,San Eugenio,PH,79.74,light rain,16.3598,120.357,Albans Lodging House
569,Banda Aceh,ID,79.02,overcast clouds,5.5577,95.3222,Sulthan Hotel International
571,Hualmay,PE,70.81,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
572,Noumea,NC,87.78,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
575,Uige,AO,66.47,light rain,-7.6087,15.0613,Hotel Catraio
576,Esmeraldas,BR,73.71,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
577,Carutapera,BR,74.88,light rain,-1.195,-46.02,Lidera
579,Calatagan,PH,80.78,few clouds,13.8833,120.65,Coral Bay Rest House
580,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
584,Samarai,PG,81.14,overcast clouds,-10.6167,150.6667,Nuli Sapi
586,Caravelas,BR,78.87,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
590,Manicore,BR,71.85,moderate rain,-5.8092,-61.3003,Hotel Durval
593,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
596,Auki,SB,83.66,overcast clouds,-8.7676,160.7034,Auki Motel
599,Monrovia,LR,79.34,broken clouds,6.3005,-10.7969,Sunset Inn
601,Boa Vista,BR,84.18,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
606,Port Macquarie,AU,80.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
609,Kaduna,NG,65.28,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
618,Formosa,AR,80.58,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
619,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
622,Chicama,PE,66.74,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
626,Isangel,VU,80.89,moderate rain,-19.55,169.2667,Tanna Lodge
634,Itaituba,BR,71.44,overcast clouds,-4.2761,-55.9836,Hotel Campos
637,Quatre Cocos,MU,78.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
638,Sibolga,ID,74.55,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
640,Arrecife,ES,66.18,haze,28.963,-13.5477,Hotel Lancelot
641,Mount Isa,AU,80.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
643,Maraba,BR,71.71,overcast clouds,-5.3686,-49.1178,Hotel Del Principe
650,San Joaquin,US,65.48,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
656,Mandera,KE,76.68,clear sky,3.9366,41.867,Mwalimu Guest mandera
659,Prabumulih,ID,73.98,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
672,Valparaiso,CL,68.47,clear sky,-33.0393,-71.6273,Hotel Ultramar
674,Oriximina,BR,73.27,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
678,Buin,CL,71.87,clear sky,-33.7333,-70.75,Paihuen
680,Soyo,AO,78.37,light rain,-6.1349,12.3689,Hotel Mpampa
682,Fare,PF,80.58,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
684,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
686,Olutanga,PH,80.96,overcast clouds,7.3106,122.8464,Morales Lodge
688,Axim,GH,79.25,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
